Timestep: 0, Current State: 0, Next State: 2
Timestep: 1, Current State: 2, Next State: 2
Timestep: 2, Current State: 2, Next State: 2
Timestep: 3, Current State: 2, Next State: 0
Timestep: 4, Current State: 0, Next State: 0
Timestep: 5, Current State: 0, Next State: 2
Timestep: 6, Current State: 2, Next State: 2
Timestep: 7, Current State: 2, Next State: 2
Timestep: 8, Current State: 2, Next State: 2
Timestep: 9, Current State: 2, Next State: 2
Timestep: 10, Current State: 2, Next State: 2
Timestep: 11, Current State: 2, Next State: 2
Timestep: 12, Current State: 2, Next State: 0
Timestep: 13, Current State: 0, Next State: 0
Timestep: 14, Current State: 0, Next State: 4
Timestep: 15, Current State: 4, Next State: 2
Timestep: 16, Current State: 2, Next State: 0
Timestep: 17, Current State: 0, Next State: 5
Timestep: 18, Current State: 5, Next State: 2
Timestep: 19, Current State: 2, Next State: 0
Timestep: 20, Current State: 0, Next State: 2
Timestep: 21, Current State: 2, Next State: 2
Timestep: 22, Current State: 2, Next State: 4
Timestep: 23, Current State: 4, Next State: 0
Timestep: 24, Current State: 0, Next State: 2
Timestep: 25, Current State: 2, Next State: 2
Timestep: 26, Current State: 2, Next State: 2
Timestep: 27, Current State: 2, Next State: 0
Timestep: 28, Current State: 0, Next State: 4
Timestep: 29, Current State: 4, Next State: 2
Timestep: 30, Current State: 2, Next State: 0
Timestep: 31, Current State: 0, Next State: 0
Timestep: 32, Current State: 0, Next State: 4
Timestep: 33, Current State: 4, Next State: 0
Timestep: 34, Current State: 0, Next State: 2
Timestep: 35, Current State: 2, Next State: 2
Timestep: 36, Current State: 2, Next State: 2
Timestep: 37, Current State: 2, Next State: 2
Timestep: 38, Current State: 2, Next State: 4
Timestep: 39, Current State: 4, Next State: 0
Timestep: 40, Current State: 0, Next State: 2
Timestep: 41, Current State: 2, Next State: 2
Timestep: 42, Current State: 2, Next State: 2
Timestep: 43, Current State: 2, Next State: 2
Timestep: 44, Current State: 2, Next State: 2
Timestep: 45, Current State: 2, Next State: 0
Timestep: 46, Current State: 0, Next State: 2
Timestep: 47, Current State: 2, Next State: 4
Timestep: 48, Current State: 4, Next State: 2
Timestep: 49, Current State: 2, Next State: 0
Timestep: 50, Current State: 0, Next State: 2
Timestep: 51, Current State: 2, Next State: 2
Timestep: 52, Current State: 2, Next State: 2
Timestep: 53, Current State: 2, Next State: 4
Timestep: 54, Current State: 4, Next State: 2
Timestep: 55, Current State: 2, Next State: 0
Timestep: 56, Current State: 0, Next State: 2
Timestep: 57, Current State: 2, Next State: 2
Timestep: 58, Current State: 2, Next State: 4
Timestep: 59, Current State: 4, Next State: 2
Timestep: 60, Current State: 2, Next State: 4
Timestep: 61, Current State: 4, Next State: 2
Timestep: 62, Current State: 2, Next State: 0
Timestep: 63, Current State: 0, Next State: 0
Timestep: 64, Current State: 0, Next State: 2
Timestep: 65, Current State: 2, Next State: 0
Timestep: 66, Current State: 0, Next State: 2
Timestep: 67, Current State: 2, Next State: 2
Timestep: 68, Current State: 2, Next State: 2
Timestep: 69, Current State: 2, Next State: 2
Timestep: 70, Current State: 2, Next State: 4
Timestep: 71, Current State: 4, Next State: 2
Timestep: 72, Current State: 2, Next State: 0
Timestep: 73, Current State: 0, Next State: 2
Timestep: 74, Current State: 2, Next State: 4
Timestep: 75, Current State: 4, Next State: 2
Timestep: 76, Current State: 2, Next State: 2
Timestep: 77, Current State: 2, Next State: 0
Timestep: 78, Current State: 0, Next State: 2
Timestep: 79, Current State: 2, Next State: 2
Timestep: 80, Current State: 2, Next State: 0
Timestep: 81, Current State: 0, Next State: 2
Timestep: 82, Current State: 2, Next State: 2
Timestep: 83, Current State: 2, Next State: 2
Timestep: 84, Current State: 2, Next State: 2
Timestep: 85, Current State: 2, Next State: 2
Timestep: 86, Current State: 2, Next State: 2
Timestep: 87, Current State: 2, Next State: 2
Timestep: 88, Current State: 2, Next State: 2
Timestep: 89, Current State: 2, Next State: 2
Timestep: 90, Current State: 2, Next State: 2
